username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:39:08,@ccpsychiatry @DeborahPadgett5 @lian_yamouer @judgeglock Some people who are or have been arrested for normal life… https://t.co/pTrdQMD5tX,1,Twitter for Android,
Si Rodriguez,897583914214195200,"New York, NY",2023-01-22 04:38:08,@glowmetric @theprism89 @POTUS Such bullshit. Not a  cares about the homeless - their voting record proves that.,0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:35:59,"@DeborahPadgett5 @lian_yamouer @judgeglock Cuomo said they were a ""danger to themselves"", but they only wanted to s… https://t.co/05SeOREjXY",0,Twitter for Android,
The G_Code,757817022407254016,"New York, NY",2023-01-22 04:32:57,@JamesFales2 @RealMattCouch Everybody in SF is either gay or homeless. Thoughts?,0,Twitter Web App,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:32:13,"@DeborahPadgett5 @lian_yamouer @judgeglock But always some homeless people get hurt. On gov. Cuomo's orders, State… https://t.co/efcYwFkGcz",0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:28:20,"@DeborahPadgett5 @lian_yamouer @judgeglock Most of such initiatives (from mayor Koch, Giuliani, de Blasio, gov. Cuo… https://t.co/0ALcbYRw6h",0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:22:11,@ccpsychiatry @DeborahPadgett5 @lian_yamouer @judgeglock I don't understand your question. Can you say it differently?,0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:20:54,"@DeborahPadgett5 @lian_yamouer @judgeglock The validity (as opposed to ""reliability"", or better ""inter-rater agreem… https://t.co/Olhmu7pyos",0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:16:41,"@DeborahPadgett5 @lian_yamouer @judgeglock If serious mental illness affects about 33% of homeless people, why does… https://t.co/RNTlKGbusi",0,Twitter for Android,
Jin Kim 김진영,940770605187698689,"New York, NY",2023-01-22 04:15:14,@cassius_gregory @Bellend_Bob @xaustenxz @TheMarieOakes Bro. 2x a week vs 3x week is the same. It boils down to you… https://t.co/hohl0eDqbm,0,Twitter for iPhone,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:10:41,"@DeborahPadgett5 @lian_yamouer @judgeglock Sometimes, but not always.
https://t.co/nI8yLXD9V5",0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:07:25,"@UnsafeStreetsUS And the extra money of those who have it is for helping the needy, and the government is 4 helping… https://t.co/6RNEW42Lmn",0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 03:59:26,"@UnsafeStreetsUS @No1RDunn @UCLA_Grad @MayorOfLA @TraciParkforLA For every hour talking about the housed, speak 24… https://t.co/z2I4H2mxWy",0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 03:58:03,@UnsafeStreetsUS @No1RDunn @UCLA_Grad @MayorOfLA @TraciParkforLA Let's remember that the housed spend only a small… https://t.co/5ccZotBvkw,0,Twitter for Android,
Chas,1275924131125608450,"New York, NY",2023-01-22 03:49:29,"@HuffyAlex @parrottrees @The_Man_1130 @libsoftiktok Not to mention the amount of homeless vets, the vets with PTSD,… https://t.co/Wgwa4eVIps",0,Twitter for iPhone,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 03:38:05,@DavidFBrand @michebocanegra @Gothamist @LegalAidNYC @NYHomeless And there's no link to mayor Adams' announcement.… https://t.co/5FoMdNopC5,0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 03:35:54,"@DavidFBrand @michebocanegra @Gothamist The article doesn't say, but the joint @LegalAidNYC/@NYHomeless response su… https://t.co/XFRMNNSZqZ",1,Twitter for Android,
jonny g,1514042939017674756,"New York, USA",2023-01-22 03:26:53,@BuzzPatterson @EndWokeness the robing homeless youth population are Antifa's shock troops  particularly on the Wes… https://t.co/a6FUf7oFt6,0,Twitter for iPhone,
Yankee Mandela,1506070025668595715,Yankee Stadium ,2023-01-22 03:24:41,Nick Siriani is a shitbag he’s a disrespectful piece of shit and he needs to get verbally abused by a homeless person in penn station,1,Twitter Web App,
